344,444
346,443
348,442
350,441
352,440
354,439
356,438
358,437
360,436
362,435
364,434
366,433
367,432
368,431
369,429
370,427
371,425
372,423
373,421
374,419
375,417
375,415
375,413
375,411
375,409
375,407
375,405
375,403
375,401
375,399
375,397
375,395
375,393
375,391
376,389
377,387
378,385
379,383
380,381
381,379
382,378
383,377
385,376
387,375
389,374
391,373
393,372
395,371
397,370
399,369
401,368
403,367
405,366
407,365
409,364
407,365
405,366
403,367
401,368
399,369
397,370
395,371
393,372
391,373
389,374
387,375
385,376
383,377
382,378
381,379
380,381
379,383
378,385
377,387
376,389
375,391
375,393
375,395
375,397
375,399
375,401
375,403
375,405
375,407
375,409
375,411
375,413
375,415
375,417
374,419
373,421
372,423
371,425
370,427
369,429
368,431
367,432
366,433
364,434
362,435
360,436
358,437
356,438
354,439
352,440
350,441
348,442
346,443
